# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.43,-2.49,0.5964,0.5964
-1.43,-2.44,0.5801,0.5801
-1.43,-2.39,0.5671,0.5671
-1.43,-2.34,0.5576,0.5576
-1.43,-2.29,0.5519,0.5519
-1.43,-2.24,0.55,0.55
-1.43,-2.19,0.5519,0.5519
-1.43,-2.14,0.5519,0.5519
-1.38,-2.09,0.5,0.5
-1.38,-2.04,0.5021,0.5021
-1.38,-1.99,0.5083,0.5083
-1.38,-1.94,0.5185,0.5185
-1.38,-1.89,0.5325,0.5325
-1.33,-1.84,0.5042,0.5042
-1.33,-1.79,0.5185,0.5185
-1.33,-1.74,0.5325,0.5325
-1.33,-1.69,0.5103,0.5103
-1.28,-1.64,0.5265,0.5265
-1.28,-1.59,0.5042,0.5042
-1.23,-1.54,0.5265,0.5265
-1.23,-1.49,0.5185,0.5185
-1.18,-1.44,0.5364,0.5364
-1.13,-1.39,0.5364,0.5364
-1.08,-1.34,0.5265,0.5265
-1.03,-1.29,0.5042,0.5042
-0.98,-1.24,0.4831,0.4831
-0.93,-1.24,0.4657,0.4657
-0.88,-1.19,0.4701,0.4701
-0.83,-1.19,0.4408,0.4408
-0.78,-1.14,0.459,0.459
-0.73,-1.14,0.4385,0.4385
-0.68,-1.09,0.459,0.459
-0.63,-1.09,0.459,0.459
-0.58,-1.09,0.4385,0.4385
-0.53,-1.04,0.4701,0.4701
-0.48,-1.04,0.459,0.459
-0.43,-0.99,0.4852,0.4852
-0.38,-0.99,0.4701,0.4701
-0.33,-0.99,0.459,0.459
-0.28,-0.94,0.5021,0.5021
-0.23,-0.94,0.5,0.5
-0.18,-0.94,0.5021,0.5021
-0.13,-0.94,0.5083,0.5083
-0.08,-0.94,0.5185,0.5185
-0.03,-0.94,0.5325,0.5325
0.02,-0.94,0.55,0.55
0.07,-0.99,0.5083,0.5083
0.12,-0.99,0.5185,0.5185
0.17,-0.99,0.5325,0.5325
0.22,-1.04,0.5042,0.5042
0.27,-1.04,0.5185,0.5185
0.32,-1.04,0.5265,0.5265
0.37,-1.09,0.5,0.5
0.42,-1.09,0.5021,0.5021
0.47,-1.09,0.5083,0.5083
0.52,-1.14,0.4701,0.4701
