# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.32,-2.22,0.3542,0.3542
-0.27,-2.22,0.3685,0.3685
-0.22,-2.27,0.3352,0.3352
-0.17,-2.27,0.3542,0.3542
-0.12,-2.32,0.3201,0.3201
-0.07,-2.32,0.3352,0.3352
-0.02,-2.32,0.3331,0.3331
0.03,-2.37,0.3331,0.3331
0.08,-2.37,0.3352,0.3352
0.13,-2.42,0.309,0.309
0.18,-2.42,0.3201,0.3201
0.23,-2.42,0.3331,0.3331
0.28,-2.47,0.309,0.309
0.33,-2.47,0.3331,0.3331
0.38,-2.47,0.3201,0.3201
0.43,-2.47,0.309,0.309
0.48,-2.47,0.3023,0.3023
0.53,-2.47,0.3,0.3
0.58,-2.47,0.3,0.3
0.63,-2.52,0.35,0.35
0.68,-2.52,0.35,0.35
0.73,-2.52,0.35,0.35
0.78,-2.52,0.3521,0.3521
0.83,-2.52,0.3583,0.3583
0.88,-2.57,0.4171,0.4171
0.93,-2.57,0.4301,0.4301
0.98,-2.57,0.4464,0.4464
1.03,-2.57,0.4659,0.4659
1.08,-2.57,0.4882,0.4882
1.13,-2.57,0.5132,0.5132
1.18,-2.62,0.5578,0.5578
1.23,-2.62,0.5776,0.5776
1.28,-2.57,0.6,0.6
1.33,-2.57,0.5776,0.5776
1.38,-2.52,0.6,0.6
1.43,-2.47,0.6015,0.6015
1.48,-2.47,0.5822,0.5822
1.53,-2.42,0.6,0.6
1.58,-2.37,0.6232,0.6232
1.63,-2.32,0.6,0.6
1.63,-2.27,0.6102,0.6102
1.63,-2.22,0.5822,0.5822
1.63,-2.17,0.5562,0.5562
1.63,-2.12,0.5326,0.5326
1.68,-2.07,0.5578,0.5578
1.68,-2.02,0.5406,0.5406
1.68,-1.97,0.5262,0.5262
1.68,-1.92,0.5149,0.5149
1.68,-1.87,0.5066,0.5066
1.63,-1.87,0.4571,0.4571
1.63,-1.82,0.4518,0.4518
1.58,-1.77,0.4,0.4
1.58,-1.72,0.4,0.4
1.58,-1.67,0.4,0.4
1.53,-1.62,0.35,0.35
1.53,-1.57,0.35,0.35
1.53,-1.52,0.35,0.35
1.48,-1.47,0.3,0.3
1.48,-1.42,0.3,0.3
1.48,-1.37,0.3023,0.3023
1.43,-1.32,0.2599,0.2599
1.43,-1.27,0.272,0.272
1.43,-1.22,0.2885,0.2885
1.43,-1.17,0.309,0.309
1.38,-1.12,0.2885,0.2885
1.38,-1.07,0.309,0.309
1.38,-1.02,0.309,0.309
1.33,-0.97,0.3201,0.3201
1.33,-0.92,0.3157,0.3157
1.28,-0.87,0.3157,0.3157
1.23,-0.82,0.3157,0.3157
1.18,-0.77,0.3157,0.3157
1.13,-0.72,0.3157,0.3157
1.13,-0.67,0.309,0.309
