# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2000,-0.7400,0.5562,0.5562
-1.2000,-0.7900,0.5326,0.5326
-1.2000,-0.8400,0.5116,0.5116
-1.2500,-0.8900,0.5406,0.5406
-1.2500,-0.9400,0.5262,0.5262
-1.2500,-0.9900,0.5149,0.5149
-1.2500,-1.0400,0.5066,0.5066
-1.3000,-1.0900,0.5516,0.5516
-1.3000,-1.1400,0.5500,0.5500
-1.3000,-1.1900,0.5500,0.5500
-1.3000,-1.2400,0.5500,0.5500
-1.3000,-1.2900,0.5500,0.5500
-1.3000,-1.3400,0.5500,0.5500
-1.3000,-1.3900,0.5500,0.5500
-1.3000,-1.4400,0.5500,0.5500
-1.3000,-1.4900,0.5500,0.5500
-1.3000,-1.5400,0.5406,0.5406
-1.3000,-1.5900,0.5262,0.5262
-1.3000,-1.6400,0.5149,0.5149
-1.3000,-1.6900,0.5066,0.5066
-1.3000,-1.7400,0.5017,0.5017
-1.3000,-1.7900,0.5000,0.5000
-1.3000,-1.8400,0.5017,0.5017
-1.3000,-1.8900,0.5000,0.5000
-1.3000,-1.9400,0.5000,0.5000
-1.3000,-1.9900,0.5017,0.5017
-1.3000,-2.0400,0.5000,0.5000
-1.3000,-2.0900,0.5000,0.5000
-1.2500,-2.1400,0.5516,0.5516
-1.2500,-2.1900,0.5500,0.5500
-1.2500,-2.2400,0.5500,0.5500
-1.2000,-2.2900,0.6000,0.6000
-1.2000,-2.3400,0.6000,0.6000
-1.1500,-2.3900,0.5746,0.5746
-1.1000,-2.3900,0.5882,0.5882
-1.0500,-2.4400,0.5578,0.5578
-1.0500,-2.4900,0.5116,0.5116
-1.0000,-2.5400,0.4780,0.4780
-0.9500,-2.5900,0.4464,0.4464
-0.9000,-2.5900,0.4571,0.4571
-0.8500,-2.5900,0.4659,0.4659
-0.8000,-2.6400,0.4301,0.4301
-0.7500,-2.6400,0.4464,0.4464
-0.7000,-2.6900,0.4000,0.4000
-0.6500,-2.6900,0.4019,0.4019
-0.6000,-2.6900,0.4076,0.4076
-0.5500,-2.6900,0.4171,0.4171
-0.5000,-2.6900,0.4208,0.4208
-0.4500,-2.6900,0.4000,0.4000
-0.4000,-2.6900,0.3825,0.3825
-0.3500,-2.6900,0.3685,0.3685
-0.3000,-2.6900,0.3583,0.3583
-0.2500,-2.6900,0.3521,0.3521
-0.2000,-2.6900,0.3500,0.3500
-0.1500,-2.6900,0.3500,0.3500
-0.1000,-2.6900,0.3500,0.3500
-0.0500,-2.6900,0.3500,0.3500
0.0000,-2.6900,0.3500,0.3500
0.0500,-2.6900,0.3500,0.3500
0.1000,-2.6900,0.3500,0.3500
0.1500,-2.6900,0.3500,0.3500
0.2000,-2.6900,0.3352,0.3352
0.2500,-2.6900,0.3201,0.3201
0.3000,-2.6900,0.3090,0.3090
0.3500,-2.6900,0.3023,0.3023
0.4000,-2.6900,0.3000,0.3000
0.4500,-2.6900,0.3000,0.3000
0.5000,-2.6900,0.3000,0.3000
0.5500,-2.6900,0.3000,0.3000
0.6000,-2.6900,0.3000,0.3000
