# x_m,y_m,w_tr_right_m,w_tr_left_m
-7.21,-3.69,0.5421,0.5421
-7.21,-3.64,0.5326,0.5326
-7.21,-3.59,0.5269,0.5269
-7.21,-3.54,0.525,0.525
-7.16,-3.49,0.475,0.475
-7.16,-3.44,0.475,0.475
-7.16,-3.39,0.475,0.475
-7.11,-3.34,0.425,0.425
-7.11,-3.29,0.425,0.425
-7.11,-3.24,0.425,0.425
-7.11,-3.19,0.4273,0.4273
-7.06,-3.14,0.3849,0.3849
-7.06,-3.09,0.397,0.397
-7.06,-3.04,0.4135,0.4135
-7.06,-2.99,0.4158,0.4158
-7.01,-2.94,0.4135,0.4135
-7.01,-2.89,0.4065,0.4065
-6.96,-2.84,0.4158,0.4158
-6.91,-2.79,0.4065,0.4065
-6.91,-2.74,0.4135,0.4135
-6.86,-2.69,0.434,0.434
-6.81,-2.64,0.4407,0.4407
-6.76,-2.59,0.4407,0.4407
-6.71,-2.54,0.4451,0.4451
-6.66,-2.49,0.4581,0.4581
-6.61,-2.44,0.4771,0.4771
-6.56,-2.44,0.4602,0.4602
-6.51,-2.39,0.4935,0.4935
-6.46,-2.39,0.4792,0.4792
-6.41,-2.34,0.5075,0.5075
-6.36,-2.34,0.4935,0.4935
-6.31,-2.34,0.4833,0.4833
-6.26,-2.29,0.5269,0.5269
-6.21,-2.29,0.525,0.525
-6.16,-2.29,0.525,0.525
-6.11,-2.29,0.525,0.525
-6.06,-2.29,0.525,0.525
-6.01,-2.29,0.525,0.525
-5.96,-2.29,0.525,0.525
-5.91,-2.34,0.475,0.475
-5.86,-2.34,0.475,0.475
-5.81,-2.34,0.4771,0.4771
-5.76,-2.39,0.434,0.434
-5.71,-2.39,0.4451,0.4451
-5.66,-2.39,0.4602,0.4602
-5.61,-2.39,0.4792,0.4792
-5.56,-2.44,0.4581,0.4581
-5.51,-2.44,0.4792,0.4792
-5.46,-2.44,0.4853,0.4853
-5.41,-2.49,0.4853,0.4853
-5.36,-2.54,0.4771,0.4771
-5.31,-2.59,0.4771,0.4771
-5.26,-2.59,0.4853,0.4853
-5.21,-2.64,0.4853,0.4853
-5.16,-2.69,0.4771,0.4771
-5.11,-2.74,0.4771,0.4771
-5.06,-2.79,0.4451,0.4451
-5.01,-2.79,0.4602,0.4602
-4.96,-2.84,0.434,0.434
-4.91,-2.84,0.4581,0.4581
-4.86,-2.89,0.434,0.434
-4.81,-2.89,0.4581,0.4581
-4.76,-2.94,0.4451,0.4451
-4.71,-2.94,0.4407,0.4407
-4.66,-2.99,0.4451,0.4451
-4.61,-3.04,0.4135,0.4135
-4.56,-3.04,0.434,0.434
-4.51,-3.09,0.4158,0.4158
-4.46,-3.09,0.4158,0.4158
-4.41,-3.14,0.434,0.434
-4.36,-3.19,0.4135,0.4135
-4.31,-3.24,0.3898,0.3898
-4.26,-3.24,0.4158,0.4158
-4.21,-3.29,0.4065,0.4065
-4.16,-3.34,0.3849,0.3849
-4.11,-3.34,0.397,0.397
-4.06,-3.39,0.3674,0.3674
-4.01,-3.39,0.3898,0.3898
-3.96,-3.44,0.375,0.375
-3.91,-3.44,0.3898,0.3898
-3.86,-3.49,0.397,0.397
-3.81,-3.54,0.3674,0.3674
-3.76,-3.59,0.3467,0.3467
-3.71,-3.59,0.3674,0.3674
-3.66,-3.59,0.3674,0.3674
-3.61,-3.64,0.375,0.375
-3.56,-3.69,0.3493,0.3493
-3.51,-3.74,0.3222,0.3222
-3.46,-3.74,0.336,0.336
-3.41,-3.74,0.3222,0.3222
-3.36,-3.79,0.3222,0.3222
-3.31,-3.79,0.336,0.336
-3.26,-3.84,0.3222,0.3222
-3.21,-3.84,0.3222,0.3222
-3.16,-3.89,0.3222,0.3222
-3.11,-3.94,0.3022,0.3022
-3.06,-3.94,0.3222,0.3222
-3.01,-3.99,0.2873,0.2873
-2.96,-3.99,0.3022,0.3022
-2.91,-4.04,0.2781,0.2781
-2.86,-4.04,0.2993,0.2993
-2.81,-4.09,0.2993,0.2993
-2.76,-4.14,0.2781,0.2781
-2.71,-4.14,0.2781,0.2781
-2.66,-4.19,0.2781,0.2781
-2.61,-4.19,0.2781,0.2781
-2.56,-4.24,0.2781,0.2781
-2.51,-4.24,0.2781,0.2781
-2.46,-4.29,0.2781,0.2781
-2.41,-4.34,0.2655,0.2655
-2.36,-4.34,0.2781,0.2781
-2.31,-4.39,0.2993,0.2993
-2.26,-4.39,0.2873,0.2873
-2.21,-4.44,0.3051,0.3051
-2.16,-4.44,0.3022,0.3022
-2.11,-4.49,0.3222,0.3222
-2.06,-4.54,0.336,0.336
-2.01,-4.59,0.3467,0.3467
-1.96,-4.64,0.3674,0.3674
-1.91,-4.69,0.37,0.37
-1.86,-4.74,0.37,0.37
-1.81,-4.79,0.375,0.375
-1.81,-4.84,0.3467,0.3467
-1.76,-4.89,0.3674,0.3674
-1.76,-4.94,0.3493,0.3493
-1.71,-4.99,0.3849,0.3849
-1.71,-5.04,0.3775,0.3775
-1.71,-5.09,0.375,0.375
