# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.9400,-0.1000,0.4185,0.4185
-0.8900,-0.1000,0.4083,0.4083
-0.8400,-0.1000,0.4021,0.4021
-0.7900,-0.1500,0.4500,0.4500
-0.7400,-0.1500,0.4500,0.4500
-0.6900,-0.1500,0.4500,0.4500
-0.6400,-0.1500,0.4500,0.4500
-0.5900,-0.1500,0.4500,0.4500
-0.5400,-0.1500,0.4500,0.4500
-0.4900,-0.1500,0.4500,0.4500
-0.4400,-0.1500,0.4500,0.4500
-0.3900,-0.1500,0.4500,0.4500
-0.3400,-0.1500,0.4519,0.4519
-0.2900,-0.1500,0.4576,0.4576
-0.2400,-0.1500,0.4671,0.4671
-0.1900,-0.1000,0.4325,0.4325
-0.1400,-0.1000,0.4500,0.4500
-0.0900,-0.1000,0.4576,0.4576
-0.0400,-0.1000,0.4671,0.4671
0.0100,-0.1000,0.4801,0.4801
0.0600,-0.1000,0.4801,0.4801
0.1100,-0.1000,0.4671,0.4671
0.1600,-0.1000,0.4500,0.4500
0.2100,-0.0500,0.4671,0.4671
0.2600,-0.0500,0.4671,0.4671
0.3100,-0.0500,0.4576,0.4576
0.3600,-0.0500,0.4500,0.4500
0.4100,0.0000,0.4500,0.4500
0.4600,0.0000,0.4500,0.4500
0.5100,0.0000,0.4500,0.4500
0.5600,0.0000,0.4500,0.4500
0.6100,0.0500,0.4000,0.4000
0.6600,0.0500,0.4000,0.4000
0.7100,0.0500,0.4021,0.4021
0.7600,0.0500,0.4000,0.4000
0.8100,0.0500,0.4021,0.4021
0.8600,0.1000,0.3590,0.3590
0.9100,0.1000,0.3701,0.3701
0.9600,0.1000,0.3852,0.3852
1.0100,0.1000,0.4021,0.4021
1.0600,0.1000,0.4083,0.4083
1.1100,0.1000,0.4083,0.4083
1.1600,0.1000,0.4021,0.4021
1.2100,0.1000,0.3852,0.3852
1.2600,0.1500,0.4185,0.4185
1.3100,0.1500,0.4042,0.4042
1.3600,0.1500,0.3852,0.3852
1.4100,0.1500,0.3701,0.3701
1.4600,0.2000,0.4083,0.4083
1.5100,0.2000,0.4021,0.4021
1.5600,0.2000,0.4000,0.4000
1.6100,0.2000,0.3852,0.3852
1.6600,0.2500,0.4185,0.4185
1.7100,0.2500,0.4083,0.4083
1.7600,0.3000,0.4500,0.4500
1.8100,0.3500,0.4801,0.4801
1.8600,0.3500,0.4671,0.4671
1.9100,0.4000,0.5071,0.5071
1.9100,0.4500,0.5500,0.5500
1.9100,0.5000,0.5500,0.5500
1.9100,0.5500,0.5211,0.5211
1.9100,0.6000,0.4946,0.4946
1.9600,0.6500,0.5159,0.5159
1.9600,0.7000,0.4964,0.4964
1.9600,0.7500,0.4801,0.4801
1.9600,0.8000,0.4671,0.4671
1.9600,0.8500,0.4576,0.4576
1.9600,0.9000,0.4519,0.4519
1.9600,0.9500,0.4500,0.4500
1.9600,1.0000,0.4519,0.4519
1.9600,1.0500,0.4500,0.4500
1.9600,1.1000,0.4500,0.4500
2.0100,1.1500,0.5000,0.5000
2.0100,1.2000,0.5000,0.5000
2.0100,1.2500,0.5000,0.5000
2.0100,1.3000,0.5000,0.5000
2.0100,1.3500,0.5000,0.5000
2.0100,1.4000,0.5000,0.5000
2.0100,1.4500,0.5018,0.5018
1.9600,1.5000,0.4576,0.4576
1.9600,1.5500,0.4671,0.4671
1.9600,1.6000,0.4801,0.4801
1.9100,1.6500,0.4500,0.4500
1.9100,1.7000,0.4708,0.4708
1.8600,1.7500,0.4519,0.4519
1.8600,1.8000,0.4801,0.4801
1.8600,1.8500,0.5106,0.5106
1.8100,1.9000,0.5071,0.5071
1.8100,1.9500,0.5071,0.5071
1.7600,2.0000,0.5106,0.5106
1.7100,2.0500,0.5211,0.5211
1.6600,2.1000,0.5382,0.5382
1.6100,2.1500,0.5211,0.5211
1.5600,2.2000,0.5106,0.5106
1.5100,2.2000,0.5106,0.5106
1.4600,2.2000,0.4801,0.4801
1.4100,2.2000,0.4519,0.4519
1.3600,2.2500,0.4708,0.4708
1.3100,2.2500,0.4500,0.4500
1.2600,2.2500,0.4325,0.4325
1.2100,2.2500,0.4185,0.4185
1.1600,2.2500,0.4083,0.4083
1.1100,2.2500,0.4021,0.4021
1.0600,2.3000,0.4500,0.4500
1.0100,2.3000,0.4500,0.4500
0.9600,2.3000,0.4500,0.4500
0.9100,2.3000,0.4500,0.4500
0.8600,2.3000,0.4519,0.4519
0.8100,2.3000,0.4576,0.4576
0.7600,2.3000,0.4671,0.4671
0.7100,2.3000,0.4801,0.4801
0.6600,2.3000,0.4964,0.4964
0.6100,2.3000,0.5000,0.5000
0.5600,2.3000,0.5000,0.5000
0.5100,2.2500,0.4519,0.4519
0.4600,2.2500,0.4576,0.4576
0.4100,2.2500,0.4671,0.4671
0.3600,2.2500,0.4801,0.4801
0.3100,2.2000,0.4500,0.4500
0.2600,2.2000,0.4519,0.4519
0.2100,2.2000,0.4576,0.4576
0.1600,2.1500,0.4185,0.4185
0.1100,2.1500,0.4325,0.4325
0.0600,2.1500,0.4500,0.4500
0.0100,2.1500,0.4708,0.4708
-0.0400,2.1000,0.4500,0.4500
-0.0900,2.1000,0.4500,0.4500
-0.1400,2.1000,0.4500,0.4500
-0.1900,2.1000,0.4519,0.4519
-0.2400,2.0500,0.4083,0.4083
-0.2900,2.0500,0.4185,0.4185
-0.3400,2.0000,0.3852,0.3852
-0.3900,2.0000,0.4000,0.4000
-0.4400,2.0000,0.4000,0.4000
-0.4900,1.9500,0.3523,0.3523
-0.5400,1.9500,0.3500,0.3500
-0.5900,1.9500,0.3523,0.3523
-0.6400,1.9500,0.3590,0.3590
-0.6900,1.9000,0.3220,0.3220
-0.7400,1.9000,0.3385,0.3385
-0.7900,1.9000,0.3590,0.3590
-0.8400,1.9000,0.3831,0.3831
-0.8900,1.8500,0.3701,0.3701
-0.9400,1.8500,0.4021,0.4021
-0.9900,1.8500,0.4042,0.4042
-1.0400,1.8000,0.4042,0.4042
-1.0900,1.8000,0.4042,0.4042
-1.1400,1.7500,0.4103,0.4103
-1.1900,1.7500,0.4042,0.4042
-1.2400,1.7000,0.4325,0.4325
-1.2900,1.7000,0.4185,0.4185
-1.3400,1.6500,0.4500,0.4500
-1.3900,1.6000,0.4708,0.4708
-1.4400,1.6000,0.4500,0.4500
-1.4900,1.5500,0.4000,0.4000
-1.4900,1.5000,0.4000,0.4000
-1.5400,1.4500,0.3500,0.3500
-1.5400,1.4000,0.3500,0.3500
-1.5400,1.3500,0.3523,0.3523
-1.5400,1.3000,0.3590,0.3590
-1.5400,1.2500,0.3701,0.3701
-1.5400,1.2000,0.3701,0.3701
-1.5400,1.1500,0.3590,0.3590
-1.5400,1.1000,0.3523,0.3523
-1.5400,1.0500,0.3500,0.3500
-1.5400,1.0000,0.3500,0.3500
-1.5400,0.9500,0.3500,0.3500
-1.5400,0.9000,0.3500,0.3500
-1.5400,0.8500,0.3500,0.3500
-1.5900,0.8000,0.4000,0.4000
-1.5900,0.7500,0.4000,0.4000
-1.5400,0.7000,0.3500,0.3500
-1.5400,0.6500,0.3523,0.3523
-1.5400,0.6000,0.3590,0.3590
-1.5400,0.5500,0.3701,0.3701
-1.5400,0.5000,0.3852,0.3852
-1.4900,0.4500,0.3590,0.3590
-1.4900,0.4000,0.3831,0.3831
-1.4900,0.3500,0.4103,0.4103
-1.4900,0.3000,0.4021,0.4021
-1.4400,0.2500,0.4103,0.4103
-1.3900,0.2000,0.4265,0.4265
-1.3400,0.1500,0.4364,0.4364
-1.2900,0.1000,0.4364,0.4364
-1.2400,0.0500,0.4364,0.4364
-1.1900,0.0000,0.4403,0.4403
-1.1400,0.0000,0.4103,0.4103
-1.0900,-0.0500,0.4265,0.4265
-1.0400,-0.0500,0.4042,0.4042
-0.9900,-0.0500,0.3852,0.3852
