# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.4300,-1.4400,0.4500,0.4500
-1.4300,-1.4900,0.4500,0.4500
-1.4300,-1.5400,0.4500,0.4500
-1.4300,-1.5900,0.4500,0.4500
-1.4300,-1.6400,0.4500,0.4500
-1.4300,-1.6900,0.4500,0.4500
-1.4300,-1.7400,0.4500,0.4500
-1.4300,-1.7900,0.4500,0.4500
-1.4300,-1.8400,0.4500,0.4500
-1.4300,-1.8900,0.4500,0.4500
-1.4300,-1.9400,0.4500,0.4500
-1.4300,-1.9900,0.4500,0.4500
-1.4300,-2.0400,0.4500,0.4500
-1.3800,-2.0900,0.4852,0.4852
-1.3800,-2.1400,0.4701,0.4701
-1.3800,-2.1900,0.4590,0.4590
-1.3300,-2.2400,0.5021,0.5021
-1.2800,-2.2900,0.5021,0.5021
-1.2300,-2.3400,0.4523,0.4523
-1.1800,-2.3900,0.4000,0.4000
-1.1300,-2.3900,0.4025,0.4025
-1.0800,-2.4400,0.3610,0.3610
-1.0300,-2.4400,0.3743,0.3743
-0.9800,-2.4400,0.3924,0.3924
-0.9300,-2.4900,0.3500,0.3500
-0.8800,-2.4900,0.3500,0.3500
-0.8300,-2.5400,0.3000,0.3000
-0.7800,-2.5400,0.3031,0.3031
-0.7300,-2.5400,0.3123,0.3123
-0.6800,-2.5400,0.3272,0.3272
-0.6300,-2.5400,0.3272,0.3272
-0.5800,-2.5400,0.3123,0.3123
-0.5300,-2.5900,0.3123,0.3123
-0.4800,-2.5900,0.3272,0.3272
-0.4300,-2.6400,0.3031,0.3031
-0.3800,-2.6400,0.3123,0.3123
-0.3300,-2.6400,0.3272,0.3272
-0.2800,-2.6400,0.3123,0.3123
-0.2300,-2.6400,0.3031,0.3031
-0.1800,-2.6900,0.3472,0.3472
-0.1300,-2.6900,0.3500,0.3500
-0.0800,-2.6900,0.3472,0.3472
-0.0300,-2.7400,0.3717,0.3717
0.0200,-2.7400,0.3610,0.3610
0.0700,-2.7400,0.3528,0.3528
0.1200,-2.7900,0.3743,0.3743
0.1700,-2.7900,0.3924,0.3924
0.2200,-2.8400,0.3717,0.3717
0.2700,-2.8400,0.4000,0.4000
0.3200,-2.8400,0.3924,0.3924
0.3700,-2.8400,0.3743,0.3743
0.4200,-2.8400,0.3610,0.3610
0.4700,-2.8400,0.3528,0.3528
0.5200,-2.8400,0.3500,0.3500
0.5700,-2.8400,0.3500,0.3500
0.6200,-2.8400,0.3500,0.3500
0.6700,-2.8400,0.3500,0.3500
0.7200,-2.8400,0.3500,0.3500
0.7700,-2.8400,0.3500,0.3500
0.8200,-2.8400,0.3500,0.3500
0.8700,-2.8400,0.3500,0.3500
0.9200,-2.8400,0.3472,0.3472
0.9700,-2.8400,0.3272,0.3272
1.0200,-2.7900,0.3000,0.3000
1.0700,-2.7900,0.3000,0.3000
1.1200,-2.7900,0.3000,0.3000
1.1700,-2.7900,0.3000,0.3000
1.2200,-2.7900,0.3000,0.3000
1.2700,-2.7900,0.2808,0.2808
1.3200,-2.7400,0.2640,0.2640
1.3700,-2.7400,0.2808,0.2808
1.4200,-2.7400,0.2606,0.2606
1.4700,-2.6900,0.2500,0.2500
1.5200,-2.6900,0.2500,0.2500
1.5700,-2.6900,0.2500,0.2500
1.6200,-2.6900,0.2354,0.2354
1.6700,-2.6900,0.2162,0.2162
1.7200,-2.6900,0.2041,0.2041
1.7700,-2.6400,0.2500,0.2500
1.8200,-2.6400,0.2500,0.2500
1.8700,-2.6400,0.2354,0.2354
1.9200,-2.5900,0.2640,0.2640
1.9700,-2.5400,0.2808,0.2808
2.0200,-2.5400,0.2808,0.2808
2.0700,-2.4900,0.2905,0.2905
2.1200,-2.4900,0.3031,0.3031
2.1700,-2.4400,0.3031,0.3031
2.2200,-2.3900,0.2905,0.2905
2.2200,-2.3400,0.3031,0.3031
