# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.24,1.28,0.3272,0.3272
-1.24,1.23,0.3272,0.3272
-1.24,1.18,0.3123,0.3123
-1.24,1.13,0.3031,0.3031
-1.24,1.08,0.3,0.3
-1.29,1.03,0.35,0.35
-1.29,0.98,0.3472,0.3472
-1.29,0.93,0.3272,0.3272
-1.29,0.88,0.3123,0.3123
-1.29,0.83,0.3031,0.3031
-1.29,0.78,0.3,0.3
-1.34,0.73,0.3528,0.3528
-1.34,0.68,0.361,0.361
-1.34,0.63,0.3743,0.3743
-1.29,0.58,0.3472,0.3472
-1.24,0.53,0.3272,0.3272
-1.19,0.48,0.3031,0.3031
-1.14,0.43,0.2905,0.2905
-1.09,0.38,0.2905,0.2905
-1.04,0.33,0.2905,0.2905
-0.99,0.28,0.2905,0.2905
-0.94,0.23,0.2905,0.2905
-0.89,0.18,0.3031,0.3031
-0.84,0.13,0.3243,0.3243
-0.79,0.13,0.3031,0.3031
-0.74,0.08,0.3272,0.3272
-0.69,0.08,0.3123,0.3123
-0.64,0.03,0.3528,0.3528
-0.59,-0.02,0.4,0.4
-0.54,-0.02,0.4,0.4
-0.49,-0.07,0.45,0.45
-0.44,-0.07,0.45,0.45
-0.39,-0.07,0.45,0.45
-0.34,-0.07,0.45,0.45
-0.29,-0.07,0.45,0.45
-0.24,-0.07,0.45,0.45
-0.19,-0.07,0.45,0.45
-0.14,-0.02,0.4025,0.4025
-0.09,-0.02,0.4099,0.4099
-0.04,-0.02,0.422,0.422
0.01,-0.02,0.4385,0.4385
0.06,0.03,0.4025,0.4025
0.11,0.03,0.4099,0.4099
0.16,0.03,0.422,0.422
0.21,0.08,0.3924,0.3924
0.26,0.13,0.361,0.361
0.31,0.13,0.3743,0.3743
0.36,0.18,0.3472,0.3472
0.41,0.18,0.361,0.361
0.46,0.23,0.361,0.361
0.51,0.28,0.3472,0.3472
0.56,0.33,0.3301,0.3301
0.61,0.38,0.3243,0.3243
0.66,0.38,0.3301,0.3301
0.71,0.43,0.3472,0.3472
0.76,0.48,0.361,0.361
0.81,0.53,0.361,0.361
0.81,0.58,0.3472,0.3472
0.86,0.63,0.3717,0.3717
0.91,0.68,0.3472,0.3472
0.91,0.73,0.35,0.35
0.91,0.78,0.3472,0.3472
0.96,0.83,0.3123,0.3123
0.96,0.88,0.3272,0.3272
0.96,0.93,0.3472,0.3472
0.96,0.98,0.3272,0.3272
0.96,1.03,0.3123,0.3123
1.01,1.08,0.3031,0.3031
1.01,1.13,0.3123,0.3123
1.01,1.18,0.3272,0.3272
1.01,1.23,0.3272,0.3272
1.01,1.28,0.3123,0.3123
1.01,1.33,0.3031,0.3031
1.06,1.38,0.3272,0.3272
1.06,1.43,0.3301,0.3301
1.06,1.48,0.3031,0.3031
1.11,1.53,0.3123,0.3123
1.11,1.58,0.3123,0.3123
1.11,1.63,0.3031,0.3031
1.11,1.68,0.3,0.3
1.11,1.73,0.2808,0.2808
1.16,1.78,0.3123,0.3123
1.16,1.83,0.3031,0.3031
1.16,1.88,0.3,0.3
1.16,1.93,0.3,0.3
1.16,1.98,0.3,0.3
1.16,2.03,0.3,0.3
1.16,2.08,0.3,0.3
1.21,2.13,0.35,0.35
1.21,2.18,0.35,0.35
1.21,2.23,0.35,0.35
1.21,2.28,0.3528,0.3528
1.21,2.33,0.361,0.361
1.26,2.38,0.422,0.422
1.26,2.43,0.4385,0.4385
1.26,2.48,0.459,0.459
1.21,2.53,0.4408,0.4408
1.21,2.58,0.4385,0.4385
1.16,2.63,0.4148,0.4148
1.11,2.63,0.4315,0.4315
1.06,2.68,0.4099,0.4099
1.01,2.68,0.4148,0.4148
0.96,2.73,0.3924,0.3924
0.91,2.78,0.361,0.361
0.86,2.78,0.3743,0.3743
0.81,2.78,0.3717,0.3717
0.76,2.78,0.3472,0.3472
0.71,2.78,0.3272,0.3272
0.66,2.78,0.3123,0.3123
0.61,2.83,0.3528,0.3528
0.56,2.83,0.35,0.35
0.51,2.83,0.35,0.35
0.46,2.83,0.3528,0.3528
0.41,2.83,0.35,0.35
0.36,2.83,0.3528,0.3528
0.31,2.83,0.361,0.361
0.26,2.83,0.3743,0.3743
0.21,2.83,0.3924,0.3924
0.16,2.83,0.4099,0.4099
0.11,2.83,0.422,0.422
0.06,2.83,0.422,0.422
0.01,2.83,0.4099,0.4099
-0.04,2.78,0.4385,0.4385
-0.09,2.78,0.4385,0.4385
-0.14,2.73,0.4385,0.4385
-0.19,2.73,0.459,0.459
-0.24,2.68,0.4385,0.4385
-0.29,2.68,0.459,0.459
-0.34,2.63,0.4408,0.4408
-0.39,2.63,0.459,0.459
-0.44,2.58,0.4657,0.4657
-0.49,2.53,0.4657,0.4657
-0.54,2.48,0.4701,0.4701
-0.54,2.43,0.459,0.459
-0.59,2.38,0.4831,0.4831
-0.64,2.33,0.5021,0.5021
-0.69,2.28,0.5021,0.5021
-0.74,2.23,0.4831,0.4831
-0.79,2.18,0.4701,0.4701
-0.79,2.13,0.4831,0.4831
-0.84,2.08,0.4701,0.4701
-0.89,2.03,0.4385,0.4385
-0.89,1.98,0.459,0.459
-0.94,1.93,0.422,0.422
-0.94,1.88,0.4385,0.4385
-0.99,1.83,0.4025,0.4025
-1.04,1.78,0.361,0.361
-1.04,1.73,0.3743,0.3743
-1.09,1.68,0.3472,0.3472
-1.09,1.63,0.361,0.361
-1.09,1.58,0.3717,0.3717
-1.14,1.53,0.3472,0.3472
-1.19,1.48,0.3123,0.3123
-1.19,1.43,0.3272,0.3272
-1.19,1.38,0.3472,0.3472
-1.24,1.33,0.3123,0.3123
