# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2400,-0.4200,0.5000,0.5000
-1.2400,-0.3700,0.4924,0.4924
-1.1900,-0.3200,0.5148,0.5148
-1.1900,-0.2700,0.4924,0.4924
-1.1400,-0.2200,0.4924,0.4924
-1.0900,-0.2200,0.4950,0.4950
-1.0400,-0.1700,0.4950,0.4950
-0.9900,-0.1200,0.4950,0.4950
-0.9400,-0.0700,0.4950,0.4950
-0.8900,-0.0200,0.4610,0.4610
-0.8400,-0.0200,0.4717,0.4717
-0.7900,0.0300,0.4472,0.4472
-0.7400,0.0300,0.4528,0.4528
-0.6900,0.0300,0.4472,0.4472
-0.6400,0.0300,0.4272,0.4272
-0.5900,0.0800,0.4472,0.4472
-0.5400,0.0800,0.4528,0.4528
-0.4900,0.0800,0.4472,0.4472
-0.4400,0.1300,0.4272,0.4272
-0.3900,0.1300,0.4472,0.4472
-0.3400,0.1300,0.4272,0.4272
-0.2900,0.1300,0.4123,0.4123
-0.2400,0.1800,0.4472,0.4472
-0.1900,0.1800,0.4272,0.4272
-0.1400,0.1800,0.4123,0.4123
-0.0900,0.1800,0.4031,0.4031
-0.0400,0.1800,0.4000,0.4000
0.0100,0.1800,0.4000,0.4000
0.0600,0.1800,0.4000,0.4000
0.1100,0.1800,0.4000,0.4000
0.1600,0.1800,0.4000,0.4000
0.2100,0.2300,0.4500,0.4500
0.2600,0.2300,0.4500,0.4500
0.3100,0.2300,0.4500,0.4500
0.3600,0.2300,0.4500,0.4500
0.4100,0.2300,0.4500,0.4500
0.4600,0.2300,0.4500,0.4500
0.5100,0.2300,0.4500,0.4500
0.5600,0.2300,0.4500,0.4500
0.6100,0.2300,0.4500,0.4500
0.6600,0.2300,0.4500,0.4500
0.7100,0.2300,0.4500,0.4500
0.7600,0.2300,0.4500,0.4500
0.8100,0.2300,0.4500,0.4500
0.8600,0.2300,0.4500,0.4500
0.9100,0.2300,0.4500,0.4500
0.9600,0.2300,0.4500,0.4500
1.0100,0.2300,0.4500,0.4500
1.0600,0.2300,0.4500,0.4500
1.1100,0.2300,0.4500,0.4500
1.1600,0.2300,0.4500,0.4500
1.2100,0.2300,0.4500,0.4500
1.2600,0.2300,0.4500,0.4500
1.3100,0.2300,0.4500,0.4500
1.3600,0.2300,0.4500,0.4500
1.4100,0.2300,0.4500,0.4500
1.4600,0.2300,0.4500,0.4500
1.5100,0.1800,0.4717,0.4717
1.5600,0.1800,0.4924,0.4924
1.6100,0.1800,0.5000,0.5000
1.6600,0.1800,0.4924,0.4924
1.7100,0.1800,0.4743,0.4743
1.7600,0.1300,0.5099,0.5099
1.8100,0.1300,0.5025,0.5025
1.8600,0.1300,0.5000,0.5000
1.9100,0.0800,0.5500,0.5500
1.9600,0.0300,0.5852,0.5852
2.0100,-0.0200,0.6103,0.6103
2.0600,-0.0700,0.6265,0.6265
2.1100,-0.1200,0.6364,0.6364
2.1100,-0.1700,0.6103,0.6103
2.1100,-0.2200,0.5831,0.5831
2.1600,-0.2700,0.6042,0.6042
2.2100,-0.3200,0.6325,0.6325
2.2100,-0.3700,0.6185,0.6185
2.2600,-0.4200,0.6576,0.6576
2.2600,-0.4700,0.6519,0.6519
2.2600,-0.5200,0.6500,0.6500
2.3100,-0.5700,0.6671,0.6671
2.3100,-0.6200,0.6801,0.6801
2.3100,-0.6700,0.6671,0.6671
