# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.4300,-1.4400,0.5500,0.5500
-1.4300,-1.4900,0.5500,0.5500
-1.4300,-1.5400,0.5500,0.5500
-1.4300,-1.5900,0.5500,0.5500
-1.4300,-1.6400,0.5500,0.5500
-1.4300,-1.6900,0.5500,0.5500
-1.4300,-1.7400,0.5500,0.5500
-1.4300,-1.7900,0.5500,0.5500
-1.4300,-1.8400,0.5500,0.5500
-1.4300,-1.8900,0.5500,0.5500
-1.4300,-1.9400,0.5500,0.5500
-1.4300,-1.9900,0.5500,0.5500
-1.4300,-2.0400,0.5500,0.5500
-1.3800,-2.0900,0.5852,0.5852
-1.3800,-2.1400,0.5701,0.5701
-1.3300,-2.1900,0.6083,0.6083
-1.3300,-2.2400,0.6021,0.6021
-1.2800,-2.2900,0.6021,0.6021
-1.2300,-2.3400,0.5523,0.5523
-1.1800,-2.3900,0.5000,0.5000
-1.1300,-2.3900,0.5025,0.5025
-1.0800,-2.4400,0.4610,0.4610
-1.0300,-2.4400,0.4743,0.4743
-0.9800,-2.4900,0.4472,0.4472
-0.9300,-2.4900,0.4500,0.4500
-0.8800,-2.4900,0.4500,0.4500
-0.8300,-2.5400,0.4000,0.4000
-0.7800,-2.5400,0.4031,0.4031
-0.7300,-2.5400,0.4123,0.4123
-0.6800,-2.5400,0.4272,0.4272
-0.6300,-2.5400,0.4272,0.4272
-0.5800,-2.5900,0.4031,0.4031
-0.5300,-2.5900,0.4123,0.4123
-0.4800,-2.5900,0.4272,0.4272
-0.4300,-2.6400,0.4031,0.4031
-0.3800,-2.6400,0.4123,0.4123
-0.3300,-2.6400,0.4272,0.4272
-0.2800,-2.6400,0.4123,0.4123
-0.2300,-2.6400,0.4031,0.4031
-0.1800,-2.6900,0.4472,0.4472
-0.1300,-2.6900,0.4500,0.4500
-0.0800,-2.6900,0.4472,0.4472
-0.0300,-2.6900,0.4272,0.4272
0.0200,-2.7400,0.4610,0.4610
0.0700,-2.7400,0.4528,0.4528
0.1200,-2.7900,0.4743,0.4743
0.1700,-2.7900,0.4924,0.4924
0.2200,-2.8400,0.4717,0.4717
0.2700,-2.8400,0.5000,0.5000
0.3200,-2.8400,0.4924,0.4924
0.3700,-2.8400,0.4743,0.4743
0.4200,-2.8400,0.4610,0.4610
0.4700,-2.8400,0.4528,0.4528
0.5200,-2.8400,0.4500,0.4500
0.5700,-2.8400,0.4500,0.4500
0.6200,-2.8400,0.4500,0.4500
0.6700,-2.8400,0.4500,0.4500
0.7200,-2.8400,0.4500,0.4500
0.7700,-2.8400,0.4500,0.4500
0.8200,-2.8400,0.4500,0.4500
0.8700,-2.8400,0.4500,0.4500
0.9200,-2.8400,0.4472,0.4472
0.9700,-2.7900,0.4000,0.4000
1.0200,-2.7900,0.4000,0.4000
1.0700,-2.7900,0.4000,0.4000
1.1200,-2.7900,0.4000,0.4000
1.1700,-2.7900,0.4000,0.4000
1.2200,-2.7900,0.4000,0.4000
1.2700,-2.7900,0.4031,0.4031
1.3200,-2.7900,0.4000,0.4000
1.3700,-2.7900,0.3808,0.3808
1.4200,-2.7900,0.3640,0.3640
1.4700,-2.7900,0.3536,0.3536
1.5200,-2.7900,0.3500,0.3500
1.5700,-2.7900,0.3536,0.3536
1.6200,-2.8400,0.3162,0.3162
1.6700,-2.8400,0.3354,0.3354
1.7200,-2.8400,0.3606,0.3606
1.7700,-2.8400,0.3606,0.3606
1.8200,-2.8900,0.3606,0.3606
1.8700,-2.8900,0.3640,0.3640
1.9200,-2.8900,0.3536,0.3536
1.9700,-2.8900,0.3500,0.3500
2.0200,-2.9400,0.4000,0.4000
2.0700,-2.9400,0.4000,0.4000
2.1200,-2.9900,0.4272,0.4272
2.1700,-3.0400,0.4472,0.4472
2.2200,-3.0400,0.4472,0.4472
2.2700,-3.0900,0.4472,0.4472
2.3200,-3.0900,0.4472,0.4472
2.3700,-3.1400,0.4610,0.4610
2.4200,-3.1400,0.4610,0.4610
2.4700,-3.1900,0.4717,0.4717
