# c6d80614-9ae1-4bba-8592-f1d0b9f5ff4e
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.7386405; 1.8908243; -1.1363166; -0.8123482; 1.7705373; 1.4888060
0.1992688; -1.5566322; 1.9600757; -1.2712528; -0.5978791; 1.9308411; 1.6572183
0.3985376; -1.3645457; 2.0083960; -1.3698058; -0.3831495; 2.0949013; 1.8364902
0.5978064; -1.1641391; 2.0423373; -1.4311990; -0.2267826; 2.2628570; 2.1159191
0.7970751; -0.9682411; 2.0663957; -1.4614641; -0.0884422; 2.4420882; 2.1585077
0.9963439; -0.7686087; 2.0872536; -1.4685185; 0.0135521; 2.6122866; 2.1491175
1.1956127; -0.5701484; 2.1084641; -1.4574010; 0.0958205; 2.7713797; 1.7076936
1.3948815; -0.3719915; 2.1334465; -1.4311021; 0.1643912; 2.8915611; 1.3823681
1.5941503; -0.1747698; 2.1649063; -1.3920668; 0.2262948; 2.9853058; 0.0527279
1.7934191; 0.0213335; 2.2053344; -1.3411469; 0.2806590; 2.9888233; -0.6126462
1.9926878; 0.2139716; 2.2565072; -1.2789591; 0.3468555; 2.9476944; 0.5747766
2.1919566; 0.4043630; 2.3211509; -1.2098297; 0.3071117; 2.9862975; 1.0557072
2.3912254; 0.5875000; 2.3961185; -1.1575187; 0.2208509; 3.0559306; -1.7026026
2.5904942; 0.7707537; 2.4806621; -1.1231595; 0.1144982; 2.9428151; -2.1650014
2.7897630; 0.9472481; 2.5669535; -1.1133691; -0.0193230; 2.7923693; -2.1418233
2.9890318; 1.1292690; 2.6550148; -1.1323367; -0.1776722; 2.6350956; -1.8615203
3.1883005; 1.3119125; 2.7353367; -1.1860834; -0.3388199; 2.4903500; -1.5749927
3.3875693; 1.4956441; 2.8018138; -1.2663092; -0.4972601; 2.3609637; -1.1221414
3.5868381; 1.6910007; 2.8515831; -1.3812162; -0.6401659; 2.2642734; -0.9637800
3.7861069; 1.8865075; 2.8756493; -1.5185314; -0.7245122; 2.1778043; -0.9455315
3.9853757; 2.0829631; 2.8722342; -1.6592462; -0.7650647; 2.0894979; -1.0685356
4.1846445; 2.2796770; 2.8388331; -1.8216470; -0.8645123; 1.9849811; -1.2423838
4.3839132; 2.4687055; 2.7713098; -2.0117891; -1.0323620; 1.8560747; -0.0641966
4.5831820; 2.6382529; 2.6696936; -2.2068689; -0.9507427; 1.8491697; -0.0266239
4.7824508; 2.7868199; 2.5367874; -2.3927564; -0.9046271; 1.8462985; 0.0994423
4.9817196; 2.9092513; 2.3788494; -2.5708001; -0.8721359; 1.8570001; 1.0674771
5.1809884; 3.0023632; 2.2032855; -2.7338455; -0.7739452; 1.9682173; 0.9682531
5.3802572; 3.0674677; 2.0148269; -2.8824819; -0.7244282; 2.0639197; 0.8790193
5.5795259; 3.1046366; 1.8189594; -3.0251594; -0.7074758; 2.1471112; 0.6303288
5.7787947; 3.1140089; 1.6198145; 3.1201280; -0.6800986; 2.2048348; 0.6260723
5.9780635; 3.0962614; 1.4208791; 2.9861638; -0.6499443; 2.2607100; 0.6313753
6.1773323; 3.0531720; 1.2270999; 2.8603485; -0.6191364; 2.3156935; 0.7394341
6.3766011; 2.9861962; 1.0384900; 2.7423713; -0.5606103; 2.3784719; 0.8207774
6.5758699; 2.8987447; 0.8591343; 2.6347460; -0.5202600; 2.4462705; 0.8924890
6.7751387; 2.7941623; 0.6911528; 2.5359061; -0.4923033; 2.5179217; 0.9510089
6.9744074; 2.6730616; 0.5334270; 2.4381754; -0.4779499; 2.5920923; 0.9637933
7.1736762; 2.5384251; 0.3888489; 2.3463624; -0.4462737; 2.6651549; 0.9721852
7.3729450; 2.3911254; 0.2562531; 2.2620101; -0.4165073; 2.7368783; 0.9851391
7.5722138; 2.2309857; 0.1346078; 2.1791997; -0.4039026; 2.8076890; 1.0128693
7.7714826; 2.0644769; 0.0280001; 2.1023045; -0.3756847; 2.8786775; 1.0468891
7.9707514; 1.8890461; -0.0666671; 2.0299405; -0.3472523; 2.9502557; 1.0800141
8.1700201; 1.7061936; -0.1494731; 1.9629493; -0.3219862; 3.0223228; 1.1040569
8.3692889; 1.5209542; -0.2194326; 1.9017471; -0.2962729; 3.0942597; 1.1271098
8.5685577; 1.3291956; -0.2791482; 1.8442653; -0.2767344; 3.1660131; 1.1304391
8.7678265; 1.1368852; -0.3275742; 1.7912957; -0.2584960; 3.2363809; 1.1459119
8.9670953; 0.9405904; -0.3663641; 1.7409288; -0.2449595; 3.3061836; 1.1453857
9.1663641; 0.7436535; -0.3953574; 1.6933888; -0.2334082; 3.3745117; 1.1599502
9.3656328; 0.5449373; -0.4152093; 1.6476469; -0.2240789; 3.4423267; 1.1698852
9.5649016; 0.3459274; -0.4261334; 1.6039118; -0.2153081; 3.5093954; 0.1787403
9.7641704; 0.1463327; -0.4284882; 1.5613152; -0.2140133; 3.5195299; -0.7415900
9.9634392; -0.0528179; -0.4223192; 1.5181546; -0.2197212; 3.4772891; -1.2296749
10.1627080; -0.2519466; -0.4073928; 1.4735965; -0.2260990; 3.4060928; -1.4771107
10.3619768; -0.4494128; -0.3835990; 1.4279086; -0.2337330; 3.3185515; -1.6389713
10.5612455; -0.6465741; -0.3504489; 1.3801830; -0.2440462; 3.2186320; -1.6428959
10.7605143; -0.8403095; -0.3080987; 1.3305630; -0.2567682; 3.1152586; -1.8116506
10.9597831; -1.0336123; -0.2553661; 1.2780303; -0.2678226; 2.9971362; -1.7776978
11.1590519; -1.2220891; -0.1929519; 1.2235201; -0.2827617; 2.8765163; -1.8190683
11.3583207; -1.4079585; -0.1195096; 1.1646803; -0.3065635; 2.7476134; -1.7500311
11.5575895; -1.5883924; -0.0350803; 1.1001258; -0.3515491; 2.6176184; -1.6809293
